"","Town","County","popTotal","medianAge","popNative_bornUSA","popNative","popNaitve_bornNH","popMoved_otherState","popMoved_abroad","popCommute_car","popCommute_publicT","popCommute_bicycle","popCommute_foot","popCommute_other","popCommute_home","popBA","popPov","medianIncome","incomeLabor","incomeLabor_WageSalary","incomeLabor_SelfEmpl","incomeInvest","incomeTotal","LF","LF_Civilian","LF_Civilian_Unemployed","LF_Not","housingTotal","housingVacant_rent","housingVacant_seasonal","medianHomeValue","medianGrossRent","unemplRate","LFparticipationRate","housingVacant_seasonal_percent","housingVacant_rent_percent","incomeNonLabor","incomeTransferPayment","incomeNonLabor_percent","incomeInvest_percent","incomeTransferPayment_percent","incomeLabor_percent","popPov_percent","popBA_percent","popMoved_otherState_percent","popMoved_abroad_percent","popMoved_percent","popCommute_car_percent","popCommute_publicT_percent","popCommute_bicycle_percent","popCommute_foot_percent","popCommute_other_percent","popCommute_home_percent","Year","benchM"
"1","Alexandria"," Grafton",1836,39.2,1783,1790,1047,27,0,749,0,0,10,10,31,217,147,56667,30747600,27640100,3107600,1733400,40645300,919,919,85,464,945,0,240,206500,918,9.24918389553863,66.4497469269703,25.3968253968254,0,9897700,8164300,24.3514010229965,4.26469973158028,20.0867012914162,75.6485989770035,8.00653594771242,11.8191721132898,1.47058823529412,0,1.47058823529412,40.7952069716776,0,0,0.544662309368192,0.544662309368192,1.68845315904139,2011,NA
"2","Alton"," Belknap",5214,44.6,5023,5040,2160,26,34,2312,0,0,80,0,352,1119,288,60045,126791100,112401800,14389400,5898900,155566200,3007,3007,163,1237,4219,31,2016,263000,822,5.42068506817426,70.8529688972667,47.7838350319981,0.734771272813463,28775100,22876200,18.4970128472637,3.79189052634827,14.7051223209155,81.5029871527363,5.52359033371692,21.4614499424626,0.498657460682777,0.652090525508247,1.15074798619102,44.3421557345608,0,0,1.5343306482547,0,6.75105485232067,2011,NA
"3","Andover"," Merrimack",2422,47.3,2339,2357,1359,63,39,1146,0,0,86,95,79,473,180,67900,57250300,50351700,6898600,1834700,71473100,1502,1494,49,531,1124,18,122,228500,937,3.27978580990629,73.8809640924742,10.8540925266904,1.60142348754448,14222800,12388100,19.8995146425718,2.56697974482707,17.3325348977447,80.1004853574282,7.43187448389761,19.5293146160198,2.60115606936416,1.61023947151115,4.21139554087531,47.3162675474814,0,0,3.55078447563997,3.92237819983485,3.2617671345995,2011,NA
"4","Ashland"," Grafton",1507,39.6,1445,1445,782,20,29,611,0,0,22,0,6,218,187,38821,23228600,19907000,3321700,611700,32032600,691,691,52,544,1261,65,395,167900,552,7.52532561505065,55.9514170040486,31.3243457573354,5.15463917525773,8804000,8192300,27.4845001654564,1.90961707760219,25.5748830878542,72.5154998345436,12.4087591240876,14.4658261446583,1.3271400132714,1.92435301924353,3.25149303251493,40.5441274054413,0,0,1.45985401459854,0,0.39814200398142,2011,NA
"5","Barnstead"," Belknap",4564,38.4,4472,4492,2247,42,0,2304,0,0,24,25,89,890,134,65221,100084000,90297300,9786700,3353800,119881800,2692,2692,108,931,2344,31,557,205500,1133,4.01188707280832,74.3030637593155,23.7627986348123,1.32252559726962,19797800,16444000,16.5144333835495,2.79758895845741,13.716844425092,83.4855666164505,2.93602103418054,19.5004382120947,0.920245398773006,0,0.920245398773006,50.4820333041192,0,0,0.525854513584575,0.547765118317266,1.95004382120947,2011,NA
"6","Belmont"," Belknap",7350,41.1,7141,7170,4334,26,0,3359,0,0,88,24,123,994,502,58561,155553900,141222300,14331700,4644100,187212600,3782,3782,165,2027,3640,30,317,184900,922,4.36277102062401,65.1058702014116,8.70879120879121,0.824175824175824,31658700,27014600,16.9105605071454,2.48065568236326,14.4299048247821,83.0894394928546,6.82993197278912,13.5238095238095,0.353741496598639,0,0.353741496598639,45.7006802721088,0,0,1.19727891156463,0.326530612244898,1.6734693877551,2011,NA
"7","Bridgewater"," Grafton",1179,47.7,1143,1153,545,44,0,575,5,0,10,21,52,272,79,55208,25816900,21644300,4172600,3657400,35195700,723,723,36,324,968,12,427,257400,760,4.9792531120332,69.054441260745,44.1115702479339,1.2396694214876,9378800,5721400,26.6475734251627,10.391610338763,16.2559630863998,73.3524265748373,6.70059372349449,23.0703986429177,3.73197625106022,0,3.73197625106022,48.7701441899915,0.424088210347752,0,0.848176420695505,1.78117048346056,4.41051738761662,2011,NA
"8","Bristol"," Grafton",3063,47.1,2961,2992,1538,45,8,1337,0,10,58,0,47,518,437,43242,56101700,51517900,4583900,1185600,74213800,1512,1512,36,997,2481,87,1039,186700,704,2.38095238095238,60.263053009167,41.8782748891576,3.50665054413543,18112100,16926500,24.4052992839607,1.59754654794661,22.8077527360141,75.5947007160393,14.2670584394385,16.9115246490369,1.46914789422135,0.261181847861574,1.73032974208293,43.6500163238655,0,0.326477309826967,1.89356839699641,0,1.53444335618674,2011,NA
"9","Center Harbor"," Belknap",960,49.2,920,924,453,5,0,453,0,0,29,0,6,319,95,58571,22968300,16677000,6291300,1850800,31132900,501,501,13,318,730,0,306,329200,786,2.59481037924152,61.1721611721612,41.9178082191781,0,8164600,6313800,26.2249902835907,5.9448364913002,20.2801537922905,73.7750097164093,9.89583333333333,33.2291666666667,0.520833333333333,0,0.520833333333333,47.1875,0,0,3.02083333333333,0,0.625,2011,NA
"10","Danbury"," Merrimack",1120,40.5,1106,1120,548,16,0,556,0,0,7,5,22,123,208,46845,22259300,17469300,4789900,272300,26360100,663,663,40,210,658,0,150,203500,945,6.03318250377074,75.9450171821306,22.7963525835866,0,4100800,3828500,15.5568453837429,1.03300063353326,14.5238447502096,84.4431546162571,18.5714285714286,10.9821428571429,1.42857142857143,0,1.42857142857143,49.6428571428571,0,0,0.625,0.446428571428571,1.96428571428571,2011,NA
"11","Effingham"," Carroll",1461,44.8,1396,1396,583,49,4,509,0,0,15,13,31,189,244,47500,19400400,15362400,4038000,1933900,28642400,695,695,76,523,917,11,388,190900,843,10.9352517985612,57.0607553366174,42.3118865866957,1.19956379498364,9242000,7308100,32.2668491467196,6.7518783342178,25.5149708125017,67.7331508532804,16.7008898015058,12.9363449691992,3.35386721423682,0.27378507871321,3.62765229295003,34.839151266256,0,0,1.02669404517454,0.889801505817933,2.12183436002738,2011,NA
"12","Franklin"," Merrimack",8552,39.6,8151,8233,5372,148,0,3563,0,0,93,165,55,905,1390,44332,146402800,137145400,9257300,4184400,183943000,4376,4376,314,2305,3816,94,177,184900,788,7.17550274223035,65.4991767699446,4.63836477987421,2.46331236897275,37540200,33355800,20.4086048395427,2.27483513914637,18.1337697003963,79.5913951604573,16.2535079513564,10.5823199251637,1.73058933582788,0,1.73058933582788,41.6627689429373,0,0,1.08746492048644,1.92937324602432,0.643124415341441,2011,NA
"13","Freedom"," Carroll",1077,59.5,1053,1062,285,29,0,451,0,0,21,3,33,291,78,47375,18711300,15618600,3092600,7433900,35042100,553,553,21,426,1734,11,1055,282700,723,3.79746835443038,56.4862104187947,60.8419838523645,0.63437139561707,16330800,8896900,46.603371373291,21.2141966377586,25.3891747355324,53.396628626709,7.24233983286908,27.0194986072423,2.69266480965645,0,2.69266480965645,41.8755803156917,0,0,1.94986072423398,0.278551532033426,3.06406685236769,2011,NA
